index,nickname,country,city,club,band,daily_cap,schedule,rename_flag,base_skill,consistency,speed_offset,affinities,has_avatar,personality_seed
506,NikushaT,GE,Zugdidi,,B2,2,evening,no,0.443,0.795,-0.087,national_teams:0.083 premier_league:0.183 la_liga:0.159 world_cup:-0.173 bundesliga:-0.126,no,2883526577525287
507,tengo,GE,Poti,,B1 (bottom),10,evening,no,0.203,0.737,-0.155,georgian_football:0.081 serie_a:0.161 national_teams:-0.143 premier_league:-0.188 transfers:-0.145 legends:-0.161,no,2432117346188985
508,rezo ubilshvili,GE,Poti,,B3,2,morning,no,0.554,0.35,0.285,champions_league:0.068 premier_league:0.162 serie_a:-0.195 transfers:-0.197 legends:-0.075 world_cup:-0.1,no,982103435040166
509,luka ugulidze,GE,Kutaisi,,B5 (top),10,evening,no,0.826,0.658,0.258,premier_league:0.154 national_teams:0.157 champions_league:-0.171 world_cup:-0.093,no,372550006658929
510,Pavle Skangshvili,GE,Poti,,B2,2,evening,no,0.423,0.642,0.258,champions_league:0.097 premier_league:0.126 georgian_football:0.106 bundesliga:-0.196 serie_a:-0.117 national_teams:-0.125 world_cup:-0.054,no,4450443403119610
511,otar lobzhshvili,GE,Ozurgeti,,B1 (bottom),2,daytime,no,0.246,0.391,-0.247,serie_a:0.141 transfers:0.185 georgian_football:-0.119 premier_league:-0.19,yes,294891641478718
512,Kukuri Chkhikvidze,GE,Zugdidi,,B4,3,evening,no,0.721,0.394,0.058,serie_a:0.054 national_teams:0.113 world_cup:-0.136 la_liga:-0.179 legends:-0.148,no,3907511900774927
513,Anano,GE,Tbilisi,,B2,15,daytime,no,0.294,0.773,0.05,la_liga:0.157 premier_league:0.148 serie_a:0.05 legends:-0.178 national_teams:-0.057,no,924367973480500
514,Goga Tsaguriashvili,GE,Ozurgeti,,B4,3,evening,no,0.644,0.425,-0.19,legends:0.127 georgian_football:0.055 world_cup:-0.131 champions_league:-0.139 serie_a:-0.057,no,2395365703504327
515,Eldar,GE,Poti,,B3,2,daytime,no,0.512,0.638,0.169,champions_league:0.114 world_cup:0.176 national_teams:0.17 la_liga:0.155 bundesliga:-0.136 serie_a:-0.058 premier_league:-0.193,no,4172759455565838
516,Rezi Iremashidze,GE,Gori,,B3,3,night_owl,no,0.552,0.62,0.032,national_teams:0.055 legends:0.139 world_cup:0.184 la_liga:-0.119 serie_a:-0.175 bundesliga:-0.192 georgian_football:-0.1,no,807926322052302
517,ნიკა,GE,Gori,,B3,10,daytime,no,0.491,0.562,-0.092,legends:0.168 la_liga:0.054 bundesliga:0.163 premier_league:-0.198 world_cup:-0.118,no,1955829345720748
518,GegaB,GE,Ozurgeti,,B2,2,morning,yes,0.264,0.727,-0.066,georgian_football:0.092 bundesliga:0.062 premier_league:0.136 legends:0.052 serie_a:-0.186 national_teams:-0.112 world_cup:-0.075 champions_league:-0.076,no,4034362873956727
519,mari elizbaridze,DE,Munich,,B2,2,daytime,no,0.295,0.543,-0.118,world_cup:0.185 serie_a:0.126 transfers:0.183 legends:-0.186 georgian_football:-0.11 premier_league:-0.167 national_teams:-0.065,no,4447750129354299
520,Giouna,GE,Kutaisi,,B2,2,evening,no,0.446,0.774,0.278,world_cup:0.102 serie_a:0.133 legends:0.081 transfers:-0.113 bundesliga:-0.119,no,2889773352427515
521,marjanar,GE,Zugdidi,,B1 (bottom),3,evening,no,0.096,0.579,0.198,bundesliga:0.131 champions_league:0.198 serie_a:-0.153 la_liga:-0.199 legends:-0.193,no,1079644251790873
522,gk1,GE,Tbilisi,,B1 (bottom),2,evening,yes,0.234,0.511,-0.181,la_liga:0.157 national_teams:0.118 legends:0.139 world_cup:0.161 georgian_football:-0.188 premier_league:-0.148 transfers:-0.054,no,2775287991371791
523,SopoR,GE,Telavi,,B2,2,evening,no,0.301,0.716,-0.222,georgian_football:0.168 transfers:0.119 legends:0.151 serie_a:-0.094 premier_league:-0.137,no,859479428861375
524,mirian ubilshvili,GE,Kutaisi,Real Madrid,B2,2,morning,no,0.284,0.583,0.144,bundesliga:0.113 transfers:0.143 legends:0.177 serie_a:0.151 champions_league:-0.146 georgian_football:-0.069 la_liga:-0.155,no,3547026937921523
525,Teimuraz Chkhartshvili,GE,Ozurgeti,,B2,10,evening,yes,0.4,0.794,0.253,la_liga:0.145 legends:0.177 serie_a:0.082 georgian_football:0.07 world_cup:-0.158 premier_league:-0.074,no,1341960694488224
526,ushangi inasarshvili,GE,Tbilisi,,B3,2,night_owl,no,0.506,0.678,-0.252,world_cup:0.186 transfers:0.112 legends:-0.18 champions_league:-0.167,no,1626187470796125
527,tengo zumbulshvili,GE,Gori,,B3,2,evening,no,0.457,0.834,-0.094,champions_league:0.086 georgian_football:0.165 premier_league:0.189 bundesliga:0.184 la_liga:-0.188 world_cup:-0.193,no,937545931357893
528,კოკა,GE,Poti,,B2,15,evening,no,0.294,0.491,0.254,bundesliga:0.186 national_teams:0.086 la_liga:-0.058 serie_a:-0.11 premier_league:-0.191 georgian_football:-0.073,no,2121030069430923
529,iurika09,GE,Poti,,B1 (bottom),10,morning,no,0.177,0.414,-0.291,champions_league:0.12 world_cup:0.051 la_liga:0.135 transfers:0.134 legends:-0.11 georgian_football:-0.094 premier_league:-0.097,no,2349961093430994
530,DatunaS,GB,Manchester,,B3,2,morning,no,0.545,0.799,-0.048,la_liga:0.171 serie_a:0.125 national_teams:-0.182 legends:-0.059 champions_league:-0.171,no,635503655781228
531,Ruradeli,GE,Rustavi,,B2,3,evening,no,0.439,0.567,-0.067,transfers:0.171 georgian_football:0.149 serie_a:0.149 national_teams:-0.181 premier_league:-0.174 bundesliga:-0.074 legends:-0.147,yes,602135216078176
532,nanas,GE,Batumi,,B3,15,daytime,no,0.547,0.527,-0.017,la_liga:0.131 champions_league:0.119 serie_a:0.198 bundesliga:0.195 national_teams:-0.189 georgian_football:-0.105 transfers:-0.104,no,3513501013040610
533,Nika Chkhartshvili,GE,Zugdidi,,B3,15,evening,no,0.519,0.768,-0.001,georgian_football:0.102 transfers:0.155 national_teams:0.095 premier_league:0.197 world_cup:-0.123 bundesliga:-0.105 serie_a:-0.133,no,1677879294164796
534,Lashaika,GE,Telavi,,B3,3,evening,yes,0.586,0.495,0.274,la_liga:0.077 premier_league:0.069 national_teams:0.095 transfers:0.171 georgian_football:-0.19 bundesliga:-0.158 champions_league:-0.157 world_cup:-0.068,no,3355019503120425
535,ketim,GE,Tbilisi,,B2,10,evening,no,0.319,0.615,0.225,georgian_football:0.127 transfers:0.175 bundesliga:0.147 serie_a:-0.072 champions_league:-0.069,no,1522446595080910
536,malkhazika,ES,Madrid,,B4,15,daytime,no,0.688,0.606,0.168,legends:0.127 la_liga:0.125 national_teams:-0.109 world_cup:-0.084 georgian_football:-0.154,no,460294648362735
537,teimuraziko,GE,Ozurgeti,,B1 (bottom),2,evening,no,0.249,0.515,-0.238,champions_league:0.115 premier_league:0.182 national_teams:-0.197 legends:-0.142,no,4245764576910163
538,sulkhan darakhvelshvili,GR,Thessaloniki,,B2,15,night_owl,no,0.259,0.534,0.277,world_cup:0.142 serie_a:0.105 transfers:-0.199 legends:-0.103 la_liga:-0.073,no,3964815746180313
539,rati nachkebua,GE,Ozurgeti,,B3,2,daytime,no,0.563,0.804,0.205,transfers:0.142 legends:0.065 la_liga:0.129 premier_league:-0.15 georgian_football:-0.058 champions_league:-0.092,no,1242300423595644
540,soso14,GE,Tbilisi,AC Milan,B1 (bottom),10,evening,no,0.131,0.75,0.025,la_liga:0.065 bundesliga:0.091 transfers:0.051 national_teams:0.172 legends:-0.175 serie_a:-0.143 world_cup:-0.162 georgian_football:-0.17,no,3344867261956607
541,Mirian,GE,Zugdidi,,B1 (bottom),2,morning,no,0.223,0.651,0.178,legends:0.054 national_teams:0.137 transfers:0.171 serie_a:0.106 la_liga:-0.075 bundesliga:-0.098,no,1371519724552713
542,Ladoo22,GE,Zugdidi,,B1 (bottom),2,morning,no,0.051,0.379,-0.027,la_liga:0.101 premier_league:0.107 world_cup:0.134 champions_league:-0.135 bundesliga:-0.063,no,3404705986964968
543,LevanR,GE,Poti,,B1 (bottom),2,evening,yes,0.193,0.82,-0.138,la_liga:0.125 georgian_football:0.182 champions_league:0.112 premier_league:0.137 world_cup:-0.091 legends:-0.156 transfers:-0.057 serie_a:-0.2,no,2309324652264985
544,Peikrishvili10,GE,Batumi,,B2,10,daytime,no,0.41,0.537,-0.16,la_liga:0.125 transfers:0.078 legends:-0.191 national_teams:-0.068 champions_league:-0.103,no,1717222131155327
545,Nutsa Mgelidze,GE,Rustavi,,B4,2,night_owl,yes,0.671,0.724,0.143,transfers:0.19 la_liga:0.11 national_teams:-0.136 serie_a:-0.065 georgian_football:-0.181,no,4190130591439229
546,VatoM,GE,Tbilisi,,B3,2,daytime,no,0.491,0.531,-0.269,champions_league:0.152 serie_a:0.175 transfers:-0.073 world_cup:-0.162,no,50314516614820
547,Amiranshvili,GE,Kutaisi,,B1 (bottom),3,night_owl,no,0.197,0.411,0.113,la_liga:0.101 champions_league:0.098 national_teams:-0.181 bundesliga:-0.171,no,3231389475080666
548,Daviti Onianishvili,GE,Tbilisi,,B2,3,evening,no,0.336,0.379,-0.025,national_teams:0.17 georgian_football:0.176 premier_league:0.165 champions_league:0.143 la_liga:-0.076 world_cup:-0.116 serie_a:-0.162,no,3569101651052117
549,fc1,GE,Zugdidi,,B2,15,evening,no,0.305,0.693,-0.046,champions_league:0.068 serie_a:0.154 la_liga:-0.059 national_teams:-0.059,no,3268846194347399
550,DAVITIO,GE,Tbilisi,,B4,2,daytime,yes,0.644,0.483,-0.246,champions_league:0.155 premier_league:0.105 la_liga:0.083 bundesliga:-0.074 national_teams:-0.179 serie_a:-0.076,yes,1708734449679688
551,pavleuna,GE,Batumi,,B3,2,evening,no,0.531,0.687,-0.041,transfers:0.083 champions_league:0.156 premier_league:0.195 world_cup:-0.159 legends:-0.192 georgian_football:-0.05,yes,531963113817179
552,Miqa Avalshvili,GE,Kutaisi,,B2,2,daytime,no,0.399,0.706,-0.223,la_liga:0.172 champions_league:0.172 transfers:0.104 bundesliga:0.12 national_teams:-0.057 serie_a:-0.145,yes,1980973026232862
553,Giorgi Arsenshvili,GE,Ozurgeti,,B1 (bottom),3,daytime,no,0.093,0.727,0.207,world_cup:0.148 legends:0.105 premier_league:-0.176 serie_a:-0.11,no,2419654973455424
554,hamsik,GE,Kutaisi,,B1 (bottom),3,daytime,no,0.15,0.617,-0.112,serie_a:0.073 georgian_football:0.132 world_cup:0.169 premier_league:0.152 national_teams:-0.059 bundesliga:-0.121 la_liga:-0.137,no,651144846547913
555,Lashauna,ES,Barcelona,,B5 (top),10,daytime,no,0.782,0.766,-0.226,transfers:0.125 world_cup:0.149 bundesliga:0.082 serie_a:0.144 legends:-0.183 georgian_football:-0.101,no,405589190404234
556,Rati,GE,Telavi,,B3,3,morning,no,0.467,0.664,-0.246,champions_league:0.12 serie_a:0.064 bundesliga:0.079 world_cup:-0.133 transfers:-0.13,no,1472324909065361
557,Ekaka,GE,Kutaisi,,B3,2,morning,no,0.591,0.67,-0.044,world_cup:0.101 georgian_football:0.073 legends:0.178 la_liga:0.067 transfers:-0.055 champions_league:-0.177 serie_a:-0.152 national_teams:-0.111,no,1040185952428159
558,revazg,GE,Ozurgeti,,B5 (top),2,evening,no,0.869,0.559,0.026,premier_league:0.106 la_liga:0.053 transfers:0.102 georgian_football:-0.077 legends:-0.151,no,2333761868092600
559,Nodarika,GE,Ozurgeti,,B3,10,daytime,no,0.54,0.476,-0.257,national_teams:0.164 bundesliga:0.059 premier_league:0.163 la_liga:-0.085 transfers:-0.164,no,900834671564583
560,TEMOL GVARAMSHVILI,GE,Zugdidi,,B1 (bottom),10,morning,no,0.104,0.575,-0.064,champions_league:0.062 la_liga:0.087 premier_league:0.117 transfers:0.078 georgian_football:-0.081 legends:-0.174,no,3567222178723252
561,tornike ubiliani,GE,Zugdidi,,B3,2,evening,no,0.572,0.484,0.284,champions_league:0.133 la_liga:0.053 bundesliga:0.181 georgian_football:-0.152 legends:-0.14 world_cup:-0.085,no,4436937392747009
562,natia darakhvelidze,GB,Birmingham,,B3,2,daytime,no,0.585,0.774,-0.118,premier_league:0.066 georgian_football:0.184 champions_league:0.138 legends:-0.184 national_teams:-0.125,yes,4324362886880944
563,Sulkhan Dolidzshvili,GE,Poti,,B3,10,evening,yes,0.488,0.397,-0.029,serie_a:0.18 georgian_football:0.082 premier_league:0.156 transfers:0.076 world_cup:-0.105 legends:-0.055,yes,3412857717128004
564,Marjana Avalidze,GE,Akhaltsikhe,,B3,3,daytime,no,0.513,0.789,0.209,georgian_football:0.128 world_cup:0.084 legends:-0.116 serie_a:-0.101 transfers:-0.169 bundesliga:-0.082,no,911198047308922
565,lekso,GE,Rustavi,,B2,2,evening,no,0.395,0.39,-0.079,serie_a:0.061 national_teams:0.14 georgian_football:-0.125 la_liga:-0.167,no,1864433005337939
566,Lezhavidze,GE,Telavi,,B2,2,daytime,no,0.395,0.497,-0.137,transfers:0.121 world_cup:0.136 la_liga:-0.05 champions_league:-0.133,no,3835852756348216
567,Zaza Ugulshvili,GE,Poti,,B4,21,evening,no,0.72,0.664,0.196,world_cup:0.171 legends:0.147 transfers:-0.147 champions_league:-0.072,no,2780862075365771
568,vidal1,GE,Batumi,,B3,2,evening,no,0.539,0.559,0,world_cup:0.108 transfers:0.107 georgian_football:0.153 legends:-0.198 serie_a:-0.139 premier_league:-0.108 champions_league:-0.193,no,1703527723824605
569,irakli arakiidze,GE,Zugdidi,,B3,3,daytime,yes,0.498,0.603,-0.013,premier_league:0.065 la_liga:0.09 georgian_football:-0.051 champions_league:-0.182 legends:-0.141 transfers:-0.185,no,3210531593751384
570,ushangia311,GE,Rustavi,,B4,2,daytime,no,0.651,0.478,-0.212,serie_a:0.131 georgian_football:0.092 la_liga:-0.159 champions_league:-0.183 bundesliga:-0.083 legends:-0.111,no,721746661926257
571,Gochaka,GE,Rustavi,,B1 (bottom),10,evening,no,0.071,0.756,-0.044,premier_league:0.138 la_liga:0.089 transfers:-0.175 legends:-0.073,no,609251753027399
572,Mamuka Natenadava,GE,Gori,,B3,2,morning,no,0.547,0.698,-0.113,premier_league:0.122 legends:0.139 georgian_football:0.107 champions_league:0.117 la_liga:-0.109 transfers:-0.146 bundesliga:-0.077 serie_a:-0.115,no,3035401787350783
573,odishidze15,GE,Batumi,,B4,10,evening,no,0.641,0.708,-0.15,transfers:0.055 premier_league:0.161 bundesliga:0.174 la_liga:-0.186 georgian_football:-0.188 national_teams:-0.097 champions_league:-0.112,yes,4351647496787164
574,Sanikidze,GE,Poti,,B1 (bottom),2,evening,no,0.107,0.484,0.038,bundesliga:0.183 champions_league:0.178 serie_a:0.052 premier_league:0.15 legends:-0.147 world_cup:-0.165 national_teams:-0.146 la_liga:-0.068,no,1921909028809299
575,guga talakhidze,GE,Poti,,B4,2,night_owl,no,0.683,0.398,-0.145,bundesliga:0.185 premier_league:0.111 la_liga:0.114 transfers:-0.082 georgian_football:-0.102 serie_a:-0.137,no,2536893111237646
576,Konstantine.cr7,GE,Ozurgeti,,B2,2,evening,no,0.39,0.589,0.174,georgian_football:0.146 transfers:0.174 champions_league:0.148 serie_a:-0.066 national_teams:-0.09,no,3632453095389772
577,grigolka,GE,Tbilisi,,B3,3,evening,no,0.527,0.603,0.284,legends:0.193 georgian_football:0.111 transfers:0.143 la_liga:0.149 national_teams:-0.112 bundesliga:-0.092 champions_league:-0.067,no,16630166738707
578,SulkhanL69,GE,Zugdidi,,B2,3,daytime,yes,0.393,0.823,-0.21,legends:0.2 premier_league:0.134 national_teams:-0.17 world_cup:-0.179 bundesliga:-0.116 georgian_football:-0.094,no,3237565902572850
579,nodar exvaiua,GE,Ozurgeti,,B3,2,daytime,no,0.552,0.787,-0.143,bundesliga:0.169 legends:0.093 la_liga:0.06 premier_league:-0.183 georgian_football:-0.104,no,876203816489238
580,Gigi Chadunadze,GE,Akhaltsikhe,,B3,2,evening,no,0.6,0.845,-0.067,serie_a:0.069 transfers:0.07 national_teams:-0.062 world_cup:-0.147,no,2840528283967482
581,tato ubilshvili,GB,London,,B2,2,daytime,no,0.356,0.594,-0.033,world_cup:0.188 serie_a:0.11 legends:0.129 champions_league:-0.129 transfers:-0.113 la_liga:-0.17,no,4487912102883969
582,Zarkeli69,GE,Rustavi,,B1 (bottom),3,evening,no,0.239,0.799,0.263,bundesliga:0.146 la_liga:0.184 georgian_football:0.092 champions_league:0.138 legends:-0.155 serie_a:-0.072 transfers:-0.089 national_teams:-0.067,no,1690409583552202
583,Tabagua,GE,Zugdidi,,B3,15,daytime,no,0.468,0.788,-0.207,transfers:0.157 legends:0.081 national_teams:0.124 world_cup:-0.2 champions_league:-0.172,no,2593819866518122
584,vaso ubilshvili,GE,Poti,,B4,2,evening,no,0.644,0.61,0.038,world_cup:0.051 serie_a:0.177 transfers:0.169 georgian_football:-0.097 bundesliga:-0.152 national_teams:-0.194,no,526337373236765
585,Nikushao,GE,Akhaltsikhe,,B1 (bottom),3,daytime,no,0.15,0.836,-0.017,legends:0.067 georgian_football:0.101 transfers:0.14 serie_a:0.193 national_teams:-0.168 la_liga:-0.108 bundesliga:-0.127,no,659850259035679
586,data chadunshvili,GE,Poti,,B1 (bottom),3,evening,no,0.106,0.453,-0.066,bundesliga:0.141 world_cup:0.072 legends:0.088 champions_league:0.11 transfers:-0.154 national_teams:-0.13 georgian_football:-0.125 premier_league:-0.087,no,3069756748796810
587,giga imnadzua,GE,Tbilisi,,B1 (bottom),2,evening,no,0.132,0.71,-0.232,national_teams:0.199 transfers:0.116 legends:0.093 premier_league:0.148 world_cup:-0.075 serie_a:-0.106,no,2217986022818496
588,eldar mamuleli,GB,Manchester,,B3,3,daytime,no,0.495,0.791,-0.068,serie_a:0.178 national_teams:0.107 bundesliga:0.15 georgian_football:0.146 la_liga:-0.17 legends:-0.096 world_cup:-0.149 premier_league:-0.124,no,4009059724325
589,Gelasheli,GE,Poti,,B1 (bottom),3,daytime,no,0.096,0.394,0.077,champions_league:0.17 georgian_football:0.097 world_cup:0.166 bundesliga:-0.104 transfers:-0.103 serie_a:-0.057,no,3223413486693631
590,pridon lordkipashvili,GE,Akhaltsikhe,,B4,2,evening,no,0.734,0.539,0.026,transfers:0.188 la_liga:0.127 georgian_football:0.177 bundesliga:-0.131 world_cup:-0.167,no,3103665054913676
591,GubazM,GE,Rustavi,,B2,10,evening,no,0.433,0.352,0.118,transfers:0.156 national_teams:0.194 la_liga:0.052 champions_league:-0.175 world_cup:-0.1 bundesliga:-0.184,no,3155316203545380
592,PridonN31,GE,Ozurgeti,,B2,2,daytime,yes,0.283,0.848,0.062,national_teams:0.064 transfers:0.071 georgian_football:0.115 champions_league:0.066 premier_league:-0.078 world_cup:-0.089,no,3350442516154705
593,hamsik55,GE,Tbilisi,,B2,10,daytime,no,0.369,0.642,0.132,world_cup:0.089 transfers:0.114 georgian_football:0.068 serie_a:-0.108 la_liga:-0.188 premier_league:-0.113,no,4350607956693297
594,Ramaz Tsagurishvili,GE,Tbilisi,,B2,2,evening,no,0.344,0.494,0.03,georgian_football:0.083 la_liga:0.14 premier_league:0.058 bundesliga:0.171 world_cup:-0.067 national_teams:-0.097,no,357406036110628
595,Pavle Bakuradze,GE,Ozurgeti,,B4,2,morning,yes,0.623,0.604,0.09,transfers:0.108 champions_league:0.063 la_liga:0.132 serie_a:0.113 legends:-0.177 georgian_football:-0.062 national_teams:-0.176 premier_league:-0.128,no,366028983992735
596,niko talakheli,GE,Poti,,B3,2,evening,no,0.458,0.441,-0.03,legends:0.149 serie_a:0.189 bundesliga:0.072 la_liga:0.061 transfers:-0.093 champions_league:-0.051,no,3489451087654429
597,Zezva Tsalugelidze14,GE,Poti,,B3,2,daytime,no,0.562,0.596,0.07,la_liga:0.066 georgian_football:0.172 serie_a:0.166 legends:0.11 premier_league:-0.157 national_teams:-0.17 champions_league:-0.086 world_cup:-0.061,no,1716689102197725
598,tazol,GE,Telavi,,B2,2,daytime,no,0.28,0.702,-0.283,world_cup:0.165 legends:0.099 national_teams:0.187 la_liga:-0.069 serie_a:-0.119 transfers:-0.19,no,4379220604326680
599,shota chadunashvili,GE,Telavi,,B4,2,daytime,yes,0.654,0.636,0.181,georgian_football:0.108 serie_a:0.188 premier_league:0.067 champions_league:-0.194 la_liga:-0.066,no,1528721183044323
600,zaza,GE,Batumi,,B2,2,daytime,no,0.254,0.684,-0.072,bundesliga:0.14 world_cup:0.105 serie_a:-0.056 legends:-0.195 champions_league:-0.13 premier_league:-0.088,no,1093789309582894
601,kako tabagshvili,GE,Tbilisi,,B2,10,evening,yes,0.337,0.789,-0.116,legends:0.103 serie_a:0.079 premier_league:0.117 transfers:0.077 national_teams:-0.148 georgian_football:-0.165 world_cup:-0.191,no,1822175938235272
602,maka,GE,Batumi,,B2,10,daytime,no,0.38,0.671,-0.111,premier_league:0.118 la_liga:0.198 georgian_football:-0.123 serie_a:-0.17 transfers:-0.187 bundesliga:-0.153,no,4445640250945450
603,Gelashadze22,GE,Kutaisi,,B5 (top),2,evening,no,0.783,0.374,0.162,world_cup:0.082 legends:0.075 la_liga:-0.162 serie_a:-0.057,no,4090962426117801
604,ramos69,GE,Zugdidi,,B4,10,daytime,no,0.742,0.486,-0.021,premier_league:0.148 serie_a:0.143 national_teams:0.111 transfers:0.103 champions_league:-0.11 bundesliga:-0.096 georgian_football:-0.169,no,3596940617626466
605,ოთო,ES,Barcelona,,B2,2,evening,no,0.359,0.53,0.277,legends:0.056 champions_league:0.065 bundesliga:0.124 transfers:0.13 world_cup:-0.133 national_teams:-0.132 georgian_football:-0.196,no,747052956422822
606,gocha arseneli,GE,Ozurgeti,,B2,3,daytime,no,0.412,0.496,-0.025,bundesliga:0.079 georgian_football:0.063 serie_a:0.131 premier_league:-0.099 legends:-0.051 la_liga:-0.052 champions_league:-0.125,no,1571879797093449
607,PaataA,GE,Ozurgeti,,B4,3,evening,no,0.687,0.566,-0.257,champions_league:0.106 world_cup:0.084 legends:-0.083 premier_league:-0.152 georgian_football:-0.131 transfers:-0.176,no,3916172423162978
608,Zurikoo,GE,Ozurgeti,,B5 (top),3,evening,no,0.765,0.714,0.021,la_liga:0.151 serie_a:0.077 legends:-0.064 champions_league:-0.086 premier_league:-0.158,no,324814670352902
609,Mako Peikrishidze345,GE,Gori,,B1 (bottom),15,evening,no,0.242,0.798,-0.272,premier_league:0.143 la_liga:0.126 bundesliga:0.183 serie_a:-0.055 national_teams:-0.13 legends:-0.163 world_cup:-0.157,no,3098532407109326
610,Gela Ekhvaiashvili,GE,Zugdidi,,B3,2,daytime,no,0.557,0.386,-0.122,bundesliga:0.078 premier_league:0.196 legends:0.086 champions_league:-0.104 georgian_football:-0.068,no,4414385014239398
611,kakoa,GE,Gori,,B2,2,evening,no,0.369,0.532,-0.03,bundesliga:0.142 serie_a:0.092 transfers:0.141 premier_league:0.063 world_cup:-0.069 la_liga:-0.158 georgian_football:-0.084 champions_league:-0.076,no,2957439814946813
612,konstantine bochoridze,GE,Rustavi,,B2,2,morning,no,0.408,0.493,-0.275,bundesliga:0.197 georgian_football:0.099 serie_a:0.139 legends:0.182 national_teams:-0.197 premier_league:-0.11 champions_league:-0.153,no,654412903005384
613,levant,GB,London,,B2,10,evening,no,0.422,0.58,0.043,transfers:0.106 serie_a:0.083 national_teams:-0.122 world_cup:-0.162 premier_league:-0.198,no,3443638084311995
614,ekhvaiava,GE,Ozurgeti,,B4,2,daytime,yes,0.743,0.46,0.023,bundesliga:0.149 georgian_football:0.156 legends:0.107 premier_league:0.054 national_teams:-0.082 la_liga:-0.093 serie_a:-0.158,no,724416986519712
615,Sopho Samkharshvili,GE,Zugdidi,,B2,10,night_owl,no,0.396,0.743,0.084,bundesliga:0.067 la_liga:0.074 legends:0.137 world_cup:0.067 serie_a:-0.12 transfers:-0.128 national_teams:-0.106 premier_league:-0.189,yes,1046130472311563
616,Levan6,GE,Ozurgeti,,B2,2,evening,no,0.307,0.812,0.14,premier_league:0.112 transfers:0.054 bundesliga:0.184 champions_league:-0.169 world_cup:-0.128 la_liga:-0.145,no,468419012411526
617,LASHA KUBLASHELI,GE,Kutaisi,,B3,10,daytime,no,0.471,0.518,-0.181,la_liga:0.161 legends:0.081 transfers:0.131 premier_league:-0.058 georgian_football:-0.089 champions_league:-0.12 bundesliga:-0.131,no,1274422238711798
618,Shalva,GE,Tbilisi,,B4,2,morning,no,0.745,0.754,0.296,legends:0.177 la_liga:0.191 transfers:-0.14 serie_a:-0.194 champions_league:-0.183,no,494042338886922
619,Badri Ekhvaishvili,GE,Kutaisi,,B4,2,evening,no,0.653,0.659,-0.003,georgian_football:0.069 national_teams:0.079 legends:-0.1 champions_league:-0.069,no,1251782972482572
620,MarjanaS,GE,Batumi,,B3,3,evening,no,0.476,0.384,0.288,premier_league:0.182 serie_a:0.148 bundesliga:0.177 national_teams:-0.107 champions_league:-0.135 transfers:-0.162 legends:-0.16,no,1194214033774915
621,Data Gagosheli,GE,Ozurgeti,,B2,15,evening,no,0.297,0.746,0.297,world_cup:0.141 national_teams:0.081 legends:-0.093 georgian_football:-0.061 bundesliga:-0.101,no,482111106789513
622,nikolozka,GE,Ozurgeti,,B4,2,evening,no,0.704,0.466,0.032,transfers:0.182 legends:0.178 national_teams:0.199 serie_a:-0.142 la_liga:-0.169 georgian_football:-0.148,no,2492248010959181
623,zazaika,GE,Akhaltsikhe,,B3,2,evening,no,0.585,0.407,-0.197,world_cup:0.151 bundesliga:0.068 national_teams:0.181 legends:0.088 champions_league:-0.13 serie_a:-0.125 georgian_football:-0.188,no,385161491571569
624,Ushangi23,GE,Batumi,,B5 (top),3,daytime,no,0.778,0.611,-0.118,bundesliga:0.06 serie_a:0.155 la_liga:-0.055 transfers:-0.164 premier_league:-0.06 legends:-0.078,no,2045028108192700
625,Grisha Lezhaveli,GE,Telavi,,B3,2,daytime,no,0.558,0.609,0.259,bundesliga:0.146 premier_league:0.124 legends:0.187 champions_league:0.179 la_liga:-0.198 world_cup:-0.15 serie_a:-0.062,no,3322832401890147
626,Tasouna,GE,Kutaisi,,B4,2,daytime,no,0.735,0.712,-0.126,world_cup:0.096 serie_a:0.134 legends:0.146 champions_league:0.059 transfers:-0.132 national_teams:-0.134,no,2700657788698874
627,peikrishvili,GE,Telavi,,B1 (bottom),2,night_owl,no,0.122,0.372,-0.04,georgian_football:0.074 la_liga:0.125 premier_league:0.108 world_cup:0.183 legends:-0.119 national_teams:-0.198,no,2118337497353320
628,Mikheil Kalatozadze,GE,Kutaisi,,B2,10,evening,no,0.321,0.561,-0.029,world_cup:0.063 la_liga:0.089 transfers:0.14 serie_a:0.079 champions_league:-0.155 national_teams:-0.061 legends:-0.173 bundesliga:-0.172,no,2857880410582773
629,Grigoliko,GE,Telavi,,B1 (bottom),3,evening,no,0.06,0.817,0.262,legends:0.141 national_teams:0.182 la_liga:0.185 premier_league:0.191 bundesliga:-0.063 world_cup:-0.115,no,3065158402741153
630,nugzarg,GE,Tbilisi,,B3,2,morning,yes,0.516,0.377,0.047,champions_league:0.188 legends:0.116 world_cup:0.056 bundesliga:-0.127 la_liga:-0.096 national_teams:-0.197,no,4134587995775733
631,Oto Khubuleli,GE,Tbilisi,,B2,2,evening,no,0.417,0.523,0.242,transfers:0.089 champions_league:0.13 serie_a:0.174 legends:-0.099 world_cup:-0.132 national_teams:-0.171 georgian_football:-0.054,no,2631507948337880
632,Keti Papavshvili,GE,Tbilisi,,B3,2,evening,no,0.506,0.571,0.1,legends:0.157 world_cup:0.111 serie_a:0.113 premier_league:-0.132 la_liga:-0.161 transfers:-0.104,no,4202018008976690
